#             eta             phi             dep             det     value0     value1      DetId
               -6               3               3              HB  0.4543625  0.2205151   43301803
               -6               3               4              HB  0.6411362  0.3588491   43401803
               -7               3               1              HB  0.3506184  0.6494825   43101C03
               -7               3               2              HB  0.6322386  0.8484178   43201C03
               -7               3               3              HB  0.9654424  0.8023770   43301C03
               -7               3               4              HB  0.5843076  0.7136827   43401C03
               -8               3               1              HB  0.2459267  0.3404886   43102003
               -8               3               2              HB  0.5717155  0.6882532   43202003
               -8               3               3              HB  0.1038600  0.9559896   43302003
               -8               3               4              HB  0.3978224  0.0762601   43402003
               -9               3               1              HB  0.7510341  0.5407109   43102403
               -9               3               2              HB  0.6785918  0.2174084   43202403
               -9               3               3              HB  0.5406358  0.3916544   43302403
               -9               3               4              HB  0.5246879  0.5188184   43402403
              -10               3               1              HB  0.5941164  0.8761635   43102803
              -10               3               2              HB  0.3635651  0.8122668   43202803
              -10               3               3              HB  0.0858844  0.1748145   43302803
              -10               3               4              HB  0.9316446  0.4449815   43402803
              -11               3               1              HB  0.8531978  0.4604476   43102C03
              -11               3               2              HB  0.7358655  0.4781276   43202C03
              -11               3               3              HB  0.7364172  0.3715793   43302C03
              -11               3               4              HB  0.3687128  0.6053624   43402C03
              -12               3               1              HB  0.0996891  0.0596507   43103003
              -12               3               2              HB  0.4356459  0.9337199   43203003
              -12               3               3              HB  0.4084334  0.9974343   43303003
              -12               3               4              HB  0.0311915  0.7381430   43403003
              -13               3               1              HB  0.3364186  0.4479621   43103403
              -13               3               2              HB  0.3079154  0.0952719   43203403
              -13               3               3              HB  0.4550307  0.9424752   43303403
              -13               3               4              HB  0.8160356  0.1328958   43403403
              -14               3               1              HB  0.1643191  0.6122525   43103803
              -14               3               2              HB  0.3615637  0.3480535   43203803
              -14               3               3              HB  0.1228785  0.4563074   43303803
              -14               3               4              HB  0.2173424  0.2073545   43403803
              -15               3               1              HB  0.0222728  0.8189464   43103C03
              -15               3               2              HB  0.1633662  0.9954887   43203C03
              -15               3               3              HB  0.4633273  0.5165365   43303C03
              -15               3               4              HB  0.7803587  0.7991830   43403C03
              -16               3               1              HB  0.7308636  0.4915239   43104003
              -16               3               2              HB  0.5566413  0.2650307   43204003
              -16               3               3              HB  0.6425809  0.0124815   43304003
               -1               4               1              HB  0.8464001  0.3497129   43100404
               -1               4               2              HB  0.5339839  0.4033408   43200404
               -1               4               3              HB  0.8494470  0.3056718   43300404
               -1               4               4              HB  0.7685733  0.9064417   43400404
               -2               4               1              HB  0.5253420  0.5541673   43100804
               -2               4               2              HB  0.8022721  0.4800795   43200804
               -2               4               3              HB  0.4343906  0.9114159   43300804
               -2               4               4              HB  0.4420520  0.5454022   43400804
               -3               4               1              HB  0.0210831  0.0009802   43100C04
               -3               4               2              HB  0.2092922  0.3974106   43200C04
               -3               4               3              HB  0.6872165  0.3650497   43300C04
               -3               4               4              HB  0.0830197  0.1816592   43400C04
               -4               4               1              HB  0.0486850  0.3208435   43101004
               -4               4               2              HB  0.2927107  0.2278963   43201004
               -4               4               3              HB  0.9088516  0.2942783   43301004
               -4               4               4              HB  0.2868006  0.5900153   43401004
               -5               4               1              HB  0.0264071  0.2018771   43101404
               -5               4               2              HB  0.0424440  0.9957297   43201404
               -5               4               3              HB  0.9729221  0.3907580   43301404
               -5               4               4              HB  0.9086647  0.2163392   43401404
               -6               4               1              HB  0.6112340  0.3060341   43101804
               -6               4               2              HB  0.7259771  0.0386274   43201804
               -6               4               3              HB  0.7989212  0.6735600   43301804
               -6               4               4              HB  0.0578051  0.1582627   43401804
               -7               4               1              HB  0.5653378  0.7809864   43101C04
               -7               4               2              HB  0.8996822  0.1918878   43201C04
               -7               4               3              HB  0.9095826  0.2727302   43301C04
               -7               4               4              HB  0.7197004  0.8226564   43401C04
               -8               4               1              HB  0.9783924  0.9041724   43102004
               -8               4               2              HB  0.1899206  0.0039829   43202004
               -8               4               3              HB  0.0486154  0.4909387   43302004
               -8               4               4              HB  0.5922002  0.9036857   43402004
               -9               4               1              HB  0.2625051  0.6041608   43102404
               -9               4               2              HB  0.2545200  0.9583671   43202404
               -9               4               3              HB  0.9975297  0.4475225   43302404
               -9               4               4              HB  0.1048015  0.8687227   43402404
              -10               4               1              HB  0.6132753  0.7786075   43102804
              -10               4               2              HB  0.3716269  0.1371428   43202804
              -10               4               3              HB  0.8747182  0.1051247   43302804
              -10               4               4              HB  0.1907108  0.1720507   43402804
              -11               4               1              HB  0.9006485  0.8325071   43102C04
              -11               4               2              HB  0.7104506  0.7427770   43202C04
              -11               4               3              HB  0.8105084  0.4491853   43302C04
              -11               4               4              HB  0.5522544  0.3736793   43402C04
              -12               4               1              HB  0.8383849  0.5840463   43103004
              -12               4               2              HB  0.1731999  0.7024660   43203004
              -12               4               3              HB  0.7231162  0.3109462   43303004
              -12               4               4              HB  0.2041209  0.1469031   43403004
              -13               4               1              HB  0.2603458  0.1426479   43103404
              -13               4               2              HB  0.1080247  0.6480179   43203404
              -13               4               3              HB  0.4476436  0.5923996   43303404
              -13               4               4              HB  0.9998445  0.5518391   43403404
              -14               4               1              HB  0.1559099  0.9215645   43103804
              -14               4               2              HB  0.7924852  0.6681286   43203804
              -14               4               3              HB  0.1490994  0.2324840   43303804
              -14               4               4              HB  0.7892551  0.8715945   43403804
              -15               4               1              HB  0.5740792  0.4070351   43103C04
              -15               4               2              HB  0.6187738  0.1057125   43203C04
              -15               4               3              HB  0.8742035  0.4776383   43303C04
              -15               4               4              HB  0.6059238  0.8805822   43403C04
              -16               4               1              HB  0.6914424  0.4299725   43104004
              -16               4               2              HB  0.0274659  0.2267901   43204004
              -16               4               3              HB  0.5890251  0.5493414   43304004
               -1               5               1              HB  0.4025039  0.8620899   43100405
               -1               5               2              HB  0.5424340  0.7395194   43200405
               -1               5               3              HB  0.4853405  0.2543264   43300405
               -1               5               4              HB  0.9040464  0.0383879   43400405
               -2               5               1              HB  0.7314841  0.4156079   43100805
               -2               5               2              HB  0.8772506  0.5000411   43200805
               -2               5               3              HB  0.1703123  0.8825624   43300805
               -2               5               4              HB  0.5670605  0.5781595   43400805
               -3               5               1              HB  0.1998324  0.8863516   43100C05
               -3               5               2              HB  0.7147391  0.9642334   43200C05
               -3               5               3              HB  0.1743911  0.2625466   43300C05
               -3               5               4              HB  0.0315536  0.9759592   43400C05
               -4               5               1              HB  0.5854002  0.4098948   43101005
               -4               5               2              HB  0.5221007  0.9868831   43201005
               -4               5               3              HB  0.3625686  0.7566661   43301005
               -4               5               4              HB  0.3825737  0.2531277   43401005
               -5               5               1              HB  0.9699986  0.5580376   43101405
               -5               5               2              HB  0.1234363  0.6661943   43201405
               -5               5               3              HB  0.3985845  0.1022261   43301405
               -5               5               4              HB  0.9951298  0.7717770   43401405
               -6               5               1              HB  0.2982088  0.3796614   43101805
               -6               5               2              HB  0.6195041  0.0641023   43201805
               -6               5               3              HB  0.6305280  0.2146847   43301805
               -6               5               4              HB  0.6194960  0.8583468   43401805
               -7               5               1              HB  0.4083294  0.0846178   43101C05
               -7               5               2              HB  0.5591835  0.9000435   43201C05
               -7               5               3              HB  0.7620773  0.9738211   43301C05
               -7               5               4              HB  0.0893949  0.3219745   43401C05
               -8               5               1              HB  0.1838583  0.2302539   43102005
               -8               5               2              HB  0.9668002  0.7996432   43202005
               -8               5               3              HB  0.5297132  0.9901081   43302005
               -8               5               4              HB  0.2484048  0.6697302   43402005
               -9               5               1              HB  0.9390853  0.7821193   43102405
               -9               5               2              HB  0.5563325  0.9449831   43202405
               -9               5               3              HB  0.5478039  0.1025203   43302405
               -9               5               4              HB  0.7959384  0.8836517   43402405
              -10               5               1              HB  0.9313228  0.6668532   43102805
              -10               5               2              HB  0.7755873  0.4783256   43202805
              -10               5               3              HB  0.2672486  0.6102139   43302805
              -10               5               4              HB  0.8546634  0.7634759   43402805
              -11               5               1              HB  0.9568103  0.2439094   43102C05
              -11               5               2              HB  0.9080548  0.7803913   43202C05
              -11               5               3              HB  0.7982076  0.6441297   43302C05
              -11               5               4              HB  0.5000581  0.1599501   43402C05
              -12               5               1              HB  0.0313013  0.2562618   43103005
              -12               5               2              HB  0.2904848  0.1883795   43203005
              -12               5               3              HB  0.0896782  0.3772928   43303005
              -12               5               4              HB  0.8891276  0.2734438   43403005
              -13               5               1              HB  0.4686368  0.5037557   43103405
              -13               5               2              HB  0.5321784  0.0699511   43203405
              -13               5               3              HB  0.8487262  0.6995324   43303405
              -13               5               4              HB  0.4342945  0.9262205   43403405
              -14               5               1              HB  0.4363019  0.1237342   43103805
              -14               5               2              HB  0.5182373  0.0583184   43203805
              -14               5               3              HB  0.4259604  0.1370190   43303805
              -14               5               4              HB  0.7005255  0.3846389   43403805
              -15               5               1              HB  0.3769058  0.9053038   43103C05
              -15               5               2              HB  0.1327280  0.5452578   43203C05
              -15               5               3              HB  0.3890158  0.2391387   43303C05
              -15               5               4              HB  0.5331255  0.9263200   43403C05
              -16               5               1              HB  0.9411145  0.9937333   43104005
              -16               5               2              HB  0.4260887  0.7581993   43204005
              -16               5               3              HB  0.5822855  0.2050676   43304005
               -1               6               1              HB  0.3967056  0.3993743   43100406
               -1               6               2              HB  0.7765775  0.9936275   43200406
               -1               6               3              HB  0.2101086  0.0627566   43300406
               -1               6               4              HB  0.5979747  0.2293962   43400406
               -2               6               1              HB  0.0482994  0.7716392   43100806
               -2               6               2              HB  0.8243675  0.1531537   43200806
               -2               6               3              HB  0.0044510  0.0288852   43300806
               -2               6               4              HB  0.2959054  0.5665824   43400806
               -3               6               1              HB  0.0396495  0.4263046   43100C06
               -3               6               2              HB  0.2792711  0.4459910   43200C06
               -3               6               3              HB  0.8264897  0.4486006   43300C06
               -3               6               4              HB  0.9365578  0.6586414   43400C06
               -4               6               1              HB  0.6957757  0.5591807   43101006
               -4               6               2              HB  0.2327066  0.1676222   43201006
               -4               6               3              HB  0.1655956  0.1233625   43301006
               -4               6               4              HB  0.0274239  0.2746377   43401006
               -5               6               1              HB  0.2619921  0.4826616   43101406
               -5               6               2              HB  0.6273671  0.4197383   43201406
               -5               6               3              HB  0.5338501  0.2705644   43301406
               -5               6               4              HB  0.9595082  0.4511302   43401406
               -6               6               1              HB  0.8267199  0.4983141   43101806
               -6               6               2              HB  0.0745873  0.0788708   43201806
               -6               6               3              HB  0.3238150  0.5308120   43301806
               -6               6               4              HB  0.6748226  0.2891580   43401806
               -7               6               1              HB  0.7554575  0.2500691   43101C06
               -7               6               2              HB  0.2655322  0.5593004   43201C06
               -7               6               3              HB  0.3686293  0.1071550   43301C06
               -7               6               4              HB  0.5724829  0.1192097   43401C06
               -8               6               1              HB  0.0699532  0.1589002   43102006
               -8               6               2              HB  0.3496169  0.9301133   43202006
               -8               6               3              HB  0.4898387  0.5291148   43302006
               -8               6               4              HB  0.7828017  0.7691421   43402006
               -9               6               1              HB  0.7077565  0.0333332   43102406
               -9               6               2              HB  0.3754511  0.0994431   43202406
               -9               6               3              HB  0.4847990  0.1479334   43302406
               -9               6               4              HB  0.0841886  0.0917472   43402406
              -10               6               1              HB  0.1158701  0.5408673   43102806
              -10               6               2              HB  0.3016429  0.2365897   43202806
              -10               6               3              HB  0.1914235  0.0596113   43302806
              -10               6               4              HB  0.9690608  0.5742891   43402806
              -11               6               1              HB  0.6319709  0.3290750   43102C06
              -11               6               2              HB  0.3622040  0.0154500   43202C06
              -11               6               3              HB  0.1981905  0.9069192   43302C06
              -11               6               4              HB  0.1481479  0.2935031   43402C06
              -12               6               1              HB  0.5958222  0.1535999   43103006
              -12               6               2              HB  0.0189897  0.9369254   43203006
              -12               6               3              HB  0.5744728  0.7856619   43303006
              -12               6               4              HB  0.6767408  0.0898042   43403006
              -13               6               1              HB  0.5510048  0.5562812   43103406
              -13               6               2              HB  0.4578345  0.3900314   43203406
              -13               6               3              HB  0.2510159  0.4930328   43303406
              -13               6               4              HB  0.7360559  0.1025704   43403406
              -14               6               1              HB  0.9666515  0.5997955   43103806
              -14               6               2              HB  0.9473314  0.3443985   43203806
              -14               6               3              HB  0.6215578  0.7380098   43303806
              -14               6               4              HB  0.2766746  0.6831965   43403806
              -15               6               1              HB  0.3453966  0.4717369   43103C06
              -15               6               2              HB  0.7465944  0.3034025   43203C06
              -15               6               3              HB  0.4795084  0.5497963   43303C06
              -15               6               4              HB  0.9745543  0.8906773   43403C06
              -16               6               1              HB  0.6066765  0.8192537   43104006
              -16               6               2              HB  0.5432804  0.5662780   43204006
              -16               6               3              HB  0.5414783  0.9123178   43304006
               -1               7               1              HB  0.2692345  0.6748803   43100407
               -1               7               2              HB  0.3615361  0.1101342   43200407
               -1               7               3              HB  0.6646222  0.9159684   43300407
               -1               7               4              HB  0.7772507  0.3574198   43400407
               -2               7               1              HB  0.1198776  0.8364287   43100807
               -2               7               2              HB  0.5376834  0.6688193   43200807
               -2               7               3              HB  0.3259252  0.9990377   43300807
               -2               7               4              HB  0.9273826  0.9030864   43400807
               -3               7               1              HB  0.4394339  0.6745802   43100C07
               -3               7               2              HB  0.9849324  0.0906208   43200C07
               -3               7               3              HB  0.4562739  0.0408360   43300C07
               -3               7               4              HB  0.1548815  0.5211671   43400C07
               -4               7               1              HB  0.2749736  0.6277778   43101007
               -4               7               2              HB  0.6621529  0.1882968   43201007
               -4               7               3              HB  0.3559397  0.8653412   43301007
               -4               7               4              HB  0.1738915  0.2917002   43401007
               -5               7               1              HB  0.6572878  0.0349227   43101407
               -5               7               2              HB  0.4195223  0.9683583   43201407
               -5               7               3              HB  0.6159947  0.7614805   43301407
               -5               7               4              HB  0.1352799  0.8696829   43401407
               -6               7               1              HB  0.6717378  0.0598317   43101807
               -6               7               2              HB  0.0630472  0.3772845   43201807
               -6               7               3              HB  0.7984737  0.1984417   43301807
               -6               7               4              HB  0.3106301  0.1674340   43401807
               -7               7               1              HB  0.0643416  0.5674512   43101C07
               -7               7               2              HB  0.0756426  0.0242551   43201C07
               -7               7               3              HB  0.7114970  0.4972539   43301C07
               -7               7               4              HB  0.1279540  0.0975940   43401C07
               -8               7               1              HB  0.8087228  0.1389731   43102007
               -8               7               2              HB  0.3416254  0.3880382   43202007
               -8               7               3              HB  0.3505967  0.4328151   43302007
               -8               7               4              HB  0.4391158  0.6141765   43402007
               -9               7               1              HB  0.3214411  0.5573959   43102407
               -9               7               2              HB  0.7731904  0.9811940   43202407
               -9               7               3              HB  0.6688115  0.7689011   43302407
               -9               7               4              HB  0.1488503  0.4611760   43402407
              -10               7               1              HB  0.3350714  0.8184397   43102807
              -10               7               2              HB  0.5339108  0.3615312   43202807
              -10               7               3              HB  0.7236488  0.5962410   43302807
              -10               7               4              HB  0.4505219  0.4652658   43402807
              -11               7               1              HB  0.3156198  0.7842889   43102C07
              -11               7               2              HB  0.1852797  0.5557274   43202C07
              -11               7               3              HB  0.6751259  0.0852067   43302C07
              -11               7               4              HB  0.9972630  0.1444878   43402C07
              -12               7               1              HB  0.0711714  0.7611662   43103007
              -12               7               2              HB  0.2608017  0.0617713   43203007
              -12               7               3              HB  0.6718371  0.7701054   43303007
              -12               7               4              HB  0.7302465  0.2902325   43403007
              -13               7               1              HB  0.5913739  0.0368910   43103407
              -13               7               2              HB  0.8326752  0.8559211   43203407
              -13               7               3              HB  0.0440531  0.2028806   43303407
              -13               7               4              HB  0.6735246  0.1243066   43403407
              -14               7               1              HB  0.2865353  0.4237061   43103807
              -14               7               2              HB  0.6160113  0.1179025   43203807
              -14               7               3              HB  0.3341551  0.4536445   43303807
              -14               7               4              HB  0.5732653  0.7842874   43403807
              -15               7               1              HB  0.3525242  0.2612591   43103C07
              -15               7               2              HB  0.3985108  0.5114813   43203C07
              -15               7               3              HB  0.9144280  0.6087529   43303C07
              -15               7               4              HB  0.1804950  0.9752685   43403C07
              -16               7               1              HB  0.5419214  0.0763033   43104007
              -16               7               2              HB  0.2872145  0.7647341   43204007
              -16               7               3              HB  0.1954041  0.2015156   43304007
               -1               8               1              HB  0.0735986  0.9020072   43100408
               -1               8               2              HB  0.9701101  0.9213605   43200408
               -1               8               3              HB  0.4342124  0.8673066   43300408
               -1               8               4              HB  0.9288992  0.9941432   43400408
               -2               8               1              HB  0.9059833  0.1383789   43100808
               -2               8               2              HB  0.2959875  0.7327938   43200808
               -2               8               3              HB  0.5533274  0.9468197   43300808
               -2               8               4              HB  0.7426755  0.8104746   43400808
               -3               8               1              HB  0.9184170  0.4540839   43100C08
               -3               8               2              HB  0.2156640  0.2985137   43200C08
               -3               8               3              HB  0.0407680  0.0068966   43300C08
               -3               8               4              HB  0.3210611  0.7901269   43400C08
               -4               8               1              HB  0.1066539  0.1512025   43101008
               -4               8               2              HB  0.3056170  0.9404227   43201008
